NIDs required to port Popsloader on 6.35 to 6.60 (nid_***_to_660.c).
Aug 19th: now it is completed!

How to make 660.c:
just copy ..._to_635.c to ..._to_660.c then replace 2nd element of each array using this list.

FW_635,FW_660, #contributer
0x773BA62B,0x05C9C803, #PROCFW
0x2F9A534A,0x0B3E6FD3, #PROCFW
0x830FC570,0x7CAB5A3D, #PROCFW
0x208F4820,0x9F205D3E, #j416dy's list
0x64FA9D42,0xC4C21CAB, #ABCang http://pastebin.com/eRZk21Fp
0x035BD7AA,0xBE03D832, #ABCang
0x45596E3F,0x0143E8A8, #ABCang
0x0CFD5A8A,0xDB97C70E, #ABCang
0xEF1B48C6,0x7CFD2733, #SnyFbSx http://pastebin.com/Y8NVuPDV
0x071C387D,0x7ED29E40, #neur0n

list for impose.prx (nid_impose_400_to_660.c)
0x09DF9219,0x22A114DC, #j416dy's list
0x8CE2AB86,0x1F08547A, #j416dy's list
0xEF9C9627,0xB57D0DEC, #j416dy's list
0x5B15473C,0xF8346777, #j416dy's list
0x18654FC0,0x2BA616AF, #j416dy's list
0x33AB5BDB,0x1809B9FC, #j416dy's list
0x5D8CE0B2,0xDF53E160, #j416dy's list
0x73CA5F45,0x3552AB11, #j416dy's list
0x01F6B0D5,0x996881D2, #j416dy's list
0xD4EF6579,0x33B620AF, #j416dy's list
0xA70E2B3C,0x117C3E2C, #j416dy's list
0xDE18E7C0,0xFA651CE1, #j416dy's list
0xF36E1F37,0x88C79735, #j416dy's list
0x2CBFA597,0x31AEA94C, #j416dy's list
0x57F6311D,0x2509FF3B, #j416dy's list
0xF8C9FAF5,0x872F4ECE, #j416dy's list
0x062CFDDC,0x5C1333B7, #j416dy's list
0xAB842949,0x7A9EA6DE, #j416dy's list
0x81DCA5A5,0x8C873AA7, #j416dy's list
0x8F2559DE,0xFA4A25A7, #j416dy's list
0x4C1F35A1,0x8AEC8EE9, #j416dy's list
0x73587D56,0x0B83352B, #j416dy's list
0xA971659D,0x8C728BB4, #j416dy's list
0xB05CD4A2,0x370DDC12, #j416dy's list
0x38FB84B5,0x301063CC, #j416dy's list
0x0682085A,0xEFCFD0C5, #j416dy's list
0xDF998667,0x3E17FE8D, #ABCang http://pastebin.com/MdXp41FQ
0x0287B1C2,0x9012B140, #http://pastebin.com/mpXjhgQ5
0xF3B8D574,0xDFF30673, #http://pastebin.com/mpXjhgQ5
0xD26B6CCE,0xE4456BC3, #VirtuousFlame
0xA349B88E,0x49D77D65, #http://pastebin.com/mpXjhgQ5
0xAEF5B913,0x5FD4764A, #http://pastebin.com/mpXjhgQ5
0xA81437D0,0x9980519F, #http://pastebin.com/mpXjhgQ5
0x55C9A620,0xD743A608, #http://pastebin.com/mpXjhgQ5
0xBA1A6A86,0x4F471457, #http://pastebin.com/mpXjhgQ5
0x5476A667,0x49C70163, #http://pastebin.com/mpXjhgQ5
0x693B0D7F,0xF4A3E396, #http://pastebin.com/mpXjhgQ5
0xA1671F90,0xFC742751, #http://pastebin.com/mpXjhgQ5
0x7F17123E,0xDBA46704, #http://pastebin.com/mpXjhgQ5
0x9DAE67BC,0xED631526, #VirtuousFlame
0x1C67572C,0x253B69B6, #VirtuousFlame
0x0DD3C1B4,0x77832653, #VirtuousFlame
0x92DA9CEF,0xB41E2430, #http://pastebin.com/n4t0pkM8
0x359F6F5C,0x4023E1A7, #VirtuousFlame
0xD06AA711,0xFFA8B183, #VirtuousFlame
0x2213275D,0xA18A4A8B, #VirtuousFlame
